"","Offense","Date","Year","Month","Hour","Weekday","NumCrimes","GroupA","GroupB","Assault","Suspicious_Persons_Activity","ShotsFired_IllegalHunting"
"67","Motor Vehicle Theft","2022-12-28","2022","December","04","Fri",26,0,1,0,0,0
"68","Larceny - From Motor Vehicle","2022-12-28","2022","December","04","Fri",26,0,1,0,0,0
"69","Burglary","2022-12-28","2022","December","03","Fri",26,0,1,0,0,0
"70","Suspicious Activity","2022-12-28","2022","December","02","Fri",26,0,1,0,0,0
"71","Juvenile Investigation","2022-12-28","2022","December","01","Fri",26,0,1,0,0,0
"72","Death Investigation - DOA","2022-12-27","2022","December","21","Thurs",9,0,1,0,0,0
"73","Larceny - Theft from Building","2022-12-27","2022","December","21","Thurs",9,0,1,0,0,0
"74","Disorderly Conduct","2022-12-27","2022","December","18","Thurs",9,0,1,0,0,0
"75","Suspicious Activity","2022-12-27","2022","December","14","Thurs",9,0,1,0,0,0
"76","Larceny - Of Veh Parts/Access","2022-12-27","2022","December","14","Thurs",9,0,1,0,0,0
"77","Missing Person-juvenile","2022-12-27","2022","December","04","Thurs",9,0,1,0,0,0
"78","Larceny - Shoplifitng","2022-12-27","2022","December","03","Thurs",9,0,1,0,0,0
"79","Larceny - Shoplifitng","2022-12-27","2022","December","02","Thurs",9,0,1,0,0,0
"80","Larceny - Shoplifitng","2022-12-27","2022","December","01","Thurs",9,0,1,0,0,0
"81","Hit and Run","2022-12-26","2022","December","21","Wed",8,0,1,0,0,0
"82","Larceny - Theft from Building","2022-12-26","2022","December","20","Wed",8,0,1,0,0,0
"83","Assist Citizen - Mental/TDO/ECO","2022-12-26","2022","December","18","Wed",8,0,1,0,0,0
"84","Robbery - Armed","2022-12-26","2022","December","16","Wed",8,0,1,0,0,0
"85","Assault Aggravated","2022-12-26","2022","December","10","Wed",8,0,1,0,0,0
"86","Hit and Run","2022-12-26","2022","December","07","Wed",8,0,1,0,0,0
"87","Hit and Run","2022-12-26","2022","December","07","Wed",8,0,1,0,0,0
"88","Runaway","2022-12-26","2022","December","00","Wed",8,0,1,0,0,0
"89","Hit and Run","2022-12-25","2022","December","13","Tues",4,0,1,0,0,0
"90","Driving Under the Influence","2022-12-25","2022","December","02","Tues",4,0,1,0,0,0
"91","Assist Agency - Backup/Assist","2022-12-25","2022","December","02","Tues",4,0,1,0,0,0
"92","Larceny - Theft from Building","2022-12-25","2022","December","00","Tues",4,0,1,0,0,0
"93","Harassment","2022-12-24","2022","December","19","Mon",7,0,1,0,0,0
"94","Larceny - From Motor Vehicle","2022-12-24","2022","December","19","Mon",7,0,1,0,0,0
"95","Assist Citizen - Mental/TDO/ECO","2022-12-24","2022","December","19","Mon",7,0,1,0,0,0
"96","Harassment","2022-12-24","2022","December","12","Mon",7,0,1,0,0,0
"97","Assault Simple","2022-12-24","2022","December","08","Mon",7,0,1,0,0,0
"98","Disturbance - Non Domestic","2022-12-24","2022","December","07","Mon",7,0,1,0,0,0
"99","Shots Fired/Illegal Hunting","2022-12-24","2022","December","02","Mon",7,1,0,0,0,1
"100","Larceny - From Coin Oper Device","2022-12-23","2022","December","19","Sun",10,0,1,0,0,0
"101","Sex Offense - Forcible Sodomy","2022-12-23","2022","December","19","Sun",10,0,1,0,0,0
"102","Larceny - All Other","2022-12-23","2022","December","18","Sun",10,0,1,0,0,0
"103","Missing Person-adult","2022-12-23","2022","December","18","Sun",10,0,1,0,0,0
"104","Vandalism","2022-12-23","2022","December","18","Sun",10,0,1,0,0,0
"105","Misc - Criminal Call","2022-12-23","2022","December","16","Sun",10,0,1,0,0,0
"106","Larceny - Theft from Building","2022-12-23","2022","December","15","Sun",10,0,1,0,0,0
"107","Assist Citizen - Mental/TDO/ECO","2022-12-23","2022","December","12","Sun",10,0,1,0,0,0
"108","Vandalism","2022-12-23","2022","December","02","Sun",10,0,1,0,0,0
"109","Hit and Run","2022-12-23","2022","December","01","Sun",10,0,1,0,0,0
"110","Fraud-false pretense","2022-12-22","2022","December","19","Sat",12,0,1,0,0,0
"111","Larceny - Theft from Building","2022-12-22","2022","December","18","Sat",12,0,1,0,0,0
"112","Larceny - From Motor Vehicle","2022-12-22","2022","December","17","Sat",12,0,1,0,0,0
"113","Larceny - Theft from Building","2022-12-22","2022","December","16","Sat",12,0,1,0,0,0
"114","Lost/FoundProperty","2022-12-22","2022","December","15","Sat",12,0,1,0,0,0
"115","Larceny - Theft from Building","2022-12-22","2022","December","15","Sat",12,0,1,0,0,0
"116","Larceny - Theft from Building","2022-12-22","2022","December","15","Sat",12,0,1,0,0,0
"117","Assault Simple","2022-12-22","2022","December","07","Sat",12,0,1,0,0,0
"118","Domestic Disturbance","2022-12-22","2022","December","07","Sat",12,0,1,0,0,0
"119","Assist Citizen - Mental/TDO/ECO","2022-12-22","2022","December","04","Sat",12,0,1,0,0,0
"120","Missing Person-juvenile","2022-12-22","2022","December","02","Sat",12,0,1,0,0,0
"121","Larceny - Purse Snatching","2022-12-22","2022","December","01","Sat",12,0,1,0,0,0
"122","Vandalism","2022-12-21","2022","December","22","Fri",18,0,1,0,0,0
"123","Death Investigation - DOA","2022-12-21","2022","December","22","Fri",18,0,1,0,0,0
"124","Hit and Run","2022-12-21","2022","December","21","Fri",18,0,1,0,0,0
"125","Comm Relations Initiative - CRI","2022-12-21","2022","December","20","Fri",18,0,1,0,0,0
"126","Larceny - Theft from Building","2022-12-21","2022","December","20","Fri",18,0,1,0,0,0
"127","Lost/FoundProperty","2022-12-21","2022","December","19","Fri",18,0,1,0,0,0
"128","Suspicious Activity","2022-12-21","2022","December","18","Fri",18,0,1,0,0,0
"129","Hit and Run","2022-12-21","2022","December","17","Fri",18,0,1,0,0,0
"130","Harassment","2022-12-21","2022","December","17","Fri",18,0,1,0,0,0
"131","Assault Simple","2022-12-21","2022","December","15","Fri",18,0,1,0,0,0
"132","Sex Offense","2022-12-21","2022","December","15","Fri",18,0,1,0,0,0
"133","Death Investigation - DOA","2022-12-21","2022","December","15","Fri",18,0,1,0,0,0
"134","Death Investigation - DOA","2022-12-21","2022","December","14","Fri",18,0,1,0,0,0
"135","Fraud-credit card","2022-12-21","2022","December","13","Fri",18,0,1,0,0,0
"136","Assault Simple","2022-12-21","2022","December","10","Fri",18,0,1,0,0,0
"137","Assault Intimidation","2022-12-21","2022","December","06","Fri",18,0,1,0,0,0
"138","Larceny - From Motor Vehicle","2022-12-21","2022","December","03","Fri",18,0,1,0,0,0
"139","Assault Simple","2022-12-21","2022","December","02","Fri",18,0,1,0,0,0
"140","Larceny - Theft from Building","2022-12-20","2022","December","23","Thurs",11,0,1,0,0,0
"141","Motor Vehicle Theft","2022-12-20","2022","December","23","Thurs",11,0,1,0,0,0
"142","Larceny - Theft from Building","2022-12-20","2022","December","21","Thurs",11,0,1,0,0,0
"143","Larceny - Shoplifitng","2022-12-20","2022","December","18","Thurs",11,0,1,0,0,0
"144","Larceny - From Motor Vehicle","2022-12-20","2022","December","17","Thurs",11,0,1,0,0,0
"145","Fraud-credit card","2022-12-20","2022","December","15","Thurs",11,0,1,0,0,0
"146","Hit and Run","2022-12-20","2022","December","06","Thurs",11,0,1,0,0,0
"147","Assault Simple","2022-12-20","2022","December","04","Thurs",11,0,1,0,0,0
"148","Suspicious Activity","2022-12-20","2022","December","03","Thurs",11,0,1,0,0,0
"149","Warrant Service","2022-12-20","2022","December","03","Thurs",11,0,1,0,0,0
"150","Lost/FoundProperty","2022-12-20","2022","December","02","Thurs",11,0,1,0,0,0
"151","Larceny - Theft from Building","2022-12-19","2022","December","23","Wed",19,0,1,0,0,0
"152","Larceny - Theft from Building","2022-12-19","2022","December","23","Wed",19,0,1,0,0,0
"153","Assault Simple","2022-12-19","2022","December","22","Wed",19,0,1,0,0,0
"154","Disorderly Conduct","2022-12-19","2022","December","22","Wed",19,0,1,0,0,0
"155","Assault Aggravated","2022-12-19","2022","December","22","Wed",19,0,1,0,0,0
"156","Assist Citizen - Mental/TDO/ECO","2022-12-19","2022","December","22","Wed",19,0,1,0,0,0
"157","Sex Offense-forcible fondling","2022-12-19","2022","December","21","Wed",19,0,1,0,0,0
"158","Vandalism","2022-12-19","2022","December","20","Wed",19,0,1,0,0,0
"159","Shots Fired/Illegal Hunting","2022-12-19","2022","December","19","Wed",19,1,0,0,0,1
"160","Lost/FoundProperty","2022-12-19","2022","December","19","Wed",19,0,1,0,0,0
"161","Animal Complaint","2022-12-19","2022","December","18","Wed",19,0,1,0,0,0
"162","Stolen Property Offenses","2022-12-19","2022","December","17","Wed",19,0,1,0,0,0
"163","Animal Complaint","2022-12-19","2022","December","13","Wed",19,0,1,0,0,0
"164","Larceny - From Motor Vehicle","2022-12-19","2022","December","12","Wed",19,0,1,0,0,0
"165","Shots Fired/Illegal Hunting","2022-12-19","2022","December","09","Wed",19,1,0,0,0,1
"166","Assist Citizen - Mental/TDO/ECO","2022-12-19","2022","December","06","Wed",19,0,1,0,0,0
"167","Sex Offense-forcible fondling","2022-12-19","2022","December","06","Wed",19,0,1,0,0,0
"168","Larceny - All Other","2022-12-19","2022","December","03","Wed",19,0,1,0,0,0
"169","Larceny - From Motor Vehicle","2022-12-19","2022","December","00","Wed",19,0,1,0,0,0
"170","Harassment","2022-12-18","2022","December","23","Tues",15,0,1,0,0,0
"171","Hit and Run","2022-12-18","2022","December","18","Tues",15,0,1,0,0,0
"172","Vandalism","2022-12-18","2022","December","17","Tues",15,0,1,0,0,0
"173","Lost/FoundProperty","2022-12-18","2022","December","17","Tues",15,0,1,0,0,0
"174","Animal Complaint","2022-12-18","2022","December","17","Tues",15,0,1,0,0,0
"175","Larceny - From Motor Vehicle","2022-12-18","2022","December","15","Tues",15,0,1,0,0,0
"176","Vandalism","2022-12-18","2022","December","15","Tues",15,0,1,0,0,0
"177","Warrant Service","2022-12-18","2022","December","11","Tues",15,0,1,0,0,0
"178","Unauthorized Use of Motor Veh","2022-12-18","2022","December","10","Tues",15,0,1,0,0,0
"179","Assault Aggravated","2022-12-18","2022","December","07","Tues",15,0,1,0,0,0
"180","Drunkeness DIP","2022-12-18","2022","December","05","Tues",15,0,1,0,0,0
"181","Death Investigation - DOA","2022-12-18","2022","December","04","Tues",15,0,1,0,0,0
"182","Burglary","2022-12-18","2022","December","01","Tues",15,0,1,0,0,0
"183","Assault Simple","2022-12-18","2022","December","00","Tues",15,0,1,0,0,0
"184","Larceny - Theft from Building","2022-12-18","2022","December","00","Tues",15,0,1,0,0,0
"185","Suspicious Activity","2022-12-17","2022","December","21","Mon",13,0,1,0,0,0
"186","Family Offense - Non-Violent","2022-12-17","2022","December","19","Mon",13,0,1,0,0,0
"187","Assist Citizen - Medical","2022-12-17","2022","December","17","Mon",13,0,1,0,0,0
"188","Larceny - Theft from Building","2022-12-17","2022","December","16","Mon",13,0,1,0,0,0
"189","Suspicious Activity","2022-12-17","2022","December","16","Mon",13,0,1,0,0,0
"190","Assist Citizen - Mental/TDO/ECO","2022-12-17","2022","December","14","Mon",13,0,1,0,0,0
"191","Driving Under the Influence","2022-12-17","2022","December","08","Mon",13,0,1,0,0,0
"192","Trespass","2022-12-17","2022","December","06","Mon",13,0,1,0,0,0
"193","Assist Citizen - Mental/TDO/ECO","2022-12-17","2022","December","06","Mon",13,0,1,0,0,0
"194","Suspicious Activity","2022-12-17","2022","December","04","Mon",13,0,1,0,0,0
"195","Hit and Run","2022-12-17","2022","December","02","Mon",13,0,1,0,0,0
"196","Assault Aggravated","2022-12-17","2022","December","02","Mon",13,0,1,0,0,0
"197","Suspicious Activity","2022-12-17","2022","December","01","Mon",13,0,1,0,0,0
"198","Hit and Run","2022-12-16","2022","December","21","Sun",9,0,1,0,0,0
"199","Fraud-false pretense","2022-12-16","2022","December","18","Sun",9,0,1,0,0,0
"200","Suspicious Activity","2022-12-16","2022","December","17","Sun",9,0,1,0,0,0
"201","Vandalism","2022-12-16","2022","December","15","Sun",9,0,1,0,0,0
"202","Burglary","2022-12-16","2022","December","15","Sun",9,0,1,0,0,0
"203","Fraud-impersonation","2022-12-16","2022","December","15","Sun",9,0,1,0,0,0
"204","Hit and Run","2022-12-16","2022","December","09","Sun",9,0,1,0,0,0
"205","Suspicious Activity","2022-12-16","2022","December","02","Sun",9,0,1,0,0,0
"206","Kidnap/Abduction","2022-12-16","2022","December","00","Sun",9,0,1,0,0,0
"207","Larceny - All Other","2022-12-15","2022","December","20","Sat",11,0,1,0,0,0
"208","Larceny - Theft from Building","2022-12-15","2022","December","20","Sat",11,0,1,0,0,0
"209","Assist Citizen - Misc","2022-12-15","2022","December","18","Sat",11,0,1,0,0,0
"210","Burglary","2022-12-15","2022","December","18","Sat",11,0,1,0,0,0
"211","Larceny - Shoplifitng","2022-12-15","2022","December","16","Sat",11,0,1,0,0,0
"212","Assault Simple","2022-12-15","2022","December","13","Sat",11,0,1,0,0,0
"213","Lost/FoundProperty","2022-12-15","2022","December","13","Sat",11,0,1,0,0,0
"214","Sex Offense - Forcible Rape","2022-12-15","2022","December","12","Sat",11,0,1,0,0,0
"215","Burglary","2022-12-15","2022","December","11","Sat",11,0,1,0,0,0
"216","Assist Citizen - Mental/TDO/ECO","2022-12-15","2022","December","02","Sat",11,0,1,0,0,0
"217","Larceny - Theft from Building","2022-12-15","2022","December","02","Sat",11,0,1,0,0,0
"218","Hit and Run","2022-12-14","2022","December","23","Fri",19,0,1,0,0,0
"219","Lost/FoundProperty","2022-12-14","2022","December","22","Fri",19,0,1,0,0,0
"220","Suspicious Activity","2022-12-14","2022","December","20","Fri",19,0,1,0,0,0
"221","Misc - Criminal Call","2022-12-14","2022","December","19","Fri",19,0,1,0,0,0
"222","Suspicious Person","2022-12-14","2022","December","19","Fri",19,0,1,0,0,0
"223","Suspicious Activity","2022-12-14","2022","December","19","Fri",19,0,1,0,0,0
"224","Disorderly Conduct","2022-12-14","2022","December","18","Fri",19,0,1,0,0,0
"225","Larceny - Theft from Building","2022-12-14","2022","December","17","Fri",19,0,1,0,0,0
"226","Disorderly Conduct","2022-12-14","2022","December","17","Fri",19,0,1,0,0,0
"227","Lost/FoundProperty","2022-12-14","2022","December","16","Fri",19,0,1,0,0,0
"228","Misc - Criminal Call","2022-12-14","2022","December","15","Fri",19,0,1,0,0,0
"229","Larceny - From Motor Vehicle","2022-12-14","2022","December","13","Fri",19,0,1,0,0,0
"230","Burglary","2022-12-14","2022","December","12","Fri",19,0,1,0,0,0
"231","Burglary","2022-12-14","2022","December","12","Fri",19,0,1,0,0,0
"232","Drunkeness DIP","2022-12-14","2022","December","04","Fri",19,0,1,0,0,0
"233","Domestic Disturbance","2022-12-14","2022","December","04","Fri",19,0,1,0,0,0
"234","Disorderly Conduct","2022-12-14","2022","December","02","Fri",19,0,1,0,0,0
"235","Sex Offense","2022-12-14","2022","December","01","Fri",19,0,1,0,0,0
"236","Assault Simple","2022-12-14","2022","December","00","Fri",19,0,1,0,0,0
"237","Larceny - Theft from Building","2022-12-13","2022","December","23","Thurs",19,0,1,0,0,0
"238","Assault Simple","2022-12-13","2022","December","22","Thurs",19,0,1,0,0,0
"239","Assault Simple","2022-12-13","2022","December","21","Thurs",19,0,1,0,0,0
"240","Larceny - From Motor Vehicle","2022-12-13","2022","December","21","Thurs",19,0,1,0,0,0
"241","Vandalism","2022-12-13","2022","December","21","Thurs",19,0,1,0,0,0
"242","Larceny - Shoplifitng","2022-12-13","2022","December","19","Thurs",19,0,1,0,0,0
"243","Misc - Non-Criminal Call","2022-12-13","2022","December","16","Thurs",19,0,1,0,0,0
"244","Shots Fired/Illegal Hunting","2022-12-13","2022","December","15","Thurs",19,1,0,0,0,1
"245","Hit and Run","2022-12-13","2022","December","14","Thurs",19,0,1,0,0,0
"246","Motor Vehicle Theft","2022-12-13","2022","December","14","Thurs",19,0,1,0,0,0
"247","Lost/FoundProperty","2022-12-13","2022","December","14","Thurs",19,0,1,0,0,0
"248","Larceny - All Other","2022-12-13","2022","December","13","Thurs",19,0,1,0,0,0
"249","Assault Simple","2022-12-13","2022","December","12","Thurs",19,0,1,0,0,0
"250","Burglary","2022-12-13","2022","December","09","Thurs",19,0,1,0,0,0
"251","Hit and Run","2022-12-13","2022","December","06","Thurs",19,0,1,0,0,0
"252","Phone Calls - Threat or Obscene","2022-12-13","2022","December","04","Thurs",19,0,1,0,0,0
"253","Fraud-credit card","2022-12-13","2022","December","04","Thurs",19,0,1,0,0,0
"254","Death Investigation - DOA","2022-12-13","2022","December","03","Thurs",19,0,1,0,0,0
"255","Larceny - Theft from Building","2022-12-13","2022","December","03","Thurs",19,0,1,0,0,0
"256","Larceny - From Motor Vehicle","2022-12-12","2022","December","23","Wed",26,0,1,0,0,0
"257","Larceny - All Other","2022-12-12","2022","December","23","Wed",26,0,1,0,0,0
"258","Larceny - From Motor Vehicle","2022-12-12","2022","December","22","Wed",26,0,1,0,0,0
"259","Larceny - Theft from Building","2022-12-12","2022","December","22","Wed",26,0,1,0,0,0
"260","Motor Vehicle Theft","2022-12-12","2022","December","22","Wed",26,0,1,0,0,0
"261","Warrant Service","2022-12-12","2022","December","21","Wed",26,0,1,0,0,0
"262","Hit and Run","2022-12-12","2022","December","21","Wed",26,0,1,0,0,0
"263","Assault Simple","2022-12-12","2022","December","21","Wed",26,0,1,0,0,0
"264","Vandalism","2022-12-12","2022","December","20","Wed",26,0,1,0,0,0
"265","Larceny - All Other","2022-12-12","2022","December","19","Wed",26,0,1,0,0,0
"266","Suspicious Activity","2022-12-12","2022","December","16","Wed",26,0,1,0,0,0
"267","Larceny - Of Veh Parts/Access","2022-12-12","2022","December","16","Wed",26,0,1,0,0,0
"268","Trespass","2022-12-12","2022","December","16","Wed",26,0,1,0,0,0
"269","Larceny - All Other","2022-12-12","2022","December","16","Wed",26,0,1,0,0,0
"270","Suspicious Activity","2022-12-12","2022","December","16","Wed",26,0,1,0,0,0
"271","Larceny - Theft from Building","2022-12-12","2022","December","15","Wed",26,0,1,0,0,0
"272","Larceny - From Motor Vehicle","2022-12-12","2022","December","14","Wed",26,0,1,0,0,0
"273","Assault Simple","2022-12-12","2022","December","13","Wed",26,0,1,0,0,0
"274","Larceny - All Other","2022-12-12","2022","December","13","Wed",26,0,1,0,0,0
"275","Domestic Disturbance","2022-12-12","2022","December","09","Wed",26,0,1,0,0,0
"276","Disorderly Conduct","2022-12-12","2022","December","08","Wed",26,0,1,0,0,0
"277","Assist Citizen - Mental/TDO/ECO","2022-12-12","2022","December","05","Wed",26,0,1,0,0,0
"278","Towed Vehicle","2022-12-12","2022","December","04","Wed",26,0,1,0,0,0
"279","Larceny - Shoplifitng","2022-12-12","2022","December","03","Wed",26,0,1,0,0,0
"280","Lost/FoundProperty","2022-12-12","2022","December","03","Wed",26,0,1,0,0,0
"281","Assault Simple","2022-12-12","2022","December","02","Wed",26,0,1,0,0,0
"282","Suspicious Activity","2022-12-11","2022","December","22","Tues",14,0,1,0,0,0
"283","Harassment","2022-12-11","2022","December","21","Tues",14,0,1,0,0,0
"284","Assist Citizen - Mental/TDO/ECO","2022-12-11","2022","December","19","Tues",14,0,1,0,0,0
"285","Larceny - Shoplifitng","2022-12-11","2022","December","12","Tues",14,0,1,0,0,0
"286","Larceny - All Other","2022-12-11","2022","December","06","Tues",14,0,1,0,0,0
"287","Assist Citizen - Mental/TDO/ECO","2022-12-11","2022","December","05","Tues",14,0,1,0,0,0
"288","Assist Citizen - Mental/TDO/ECO","2022-12-11","2022","December","04","Tues",14,0,1,0,0,0
"289","Assault Aggravated","2022-12-11","2022","December","02","Tues",14,0,1,0,0,0
"290","Larceny - From Motor Vehicle","2022-12-11","2022","December","02","Tues",14,0,1,0,0,0
"291","Larceny - Shoplifitng","2022-12-11","2022","December","01","Tues",14,0,1,0,0,0
"292","Larceny - Of Veh Parts/Access","2022-12-11","2022","December","01","Tues",14,0,1,0,0,0
"293","Hit and Run","2022-12-11","2022","December","01","Tues",14,0,1,0,0,0
"294","Fraud-wire fraud","2022-12-11","2022","December","01","Tues",14,0,1,0,0,0
"295","Fraud-credit card","2022-12-11","2022","December","00","Tues",14,0,1,0,0,0
"296","Accident w/Injuries","2022-12-10","2022","December","22","Mon",16,0,1,0,0,0
"297","Fraud-credit card","2022-12-10","2022","December","22","Mon",16,0,1,0,0,0
"298","Larceny - Shoplifitng","2022-12-10","2022","December","22","Mon",16,0,1,0,0,0
"299","Assist Citizen - Mental/TDO/ECO","2022-12-10","2022","December","21","Mon",16,0,1,0,0,0
"300","Fraud-credit card","2022-12-10","2022","December","21","Mon",16,0,1,0,0,0
"301","Lost/FoundProperty","2022-12-10","2022","December","19","Mon",16,0,1,0,0,0
"302","Suspicious Activity","2022-12-10","2022","December","18","Mon",16,0,1,0,0,0
"303","Larceny - From Motor Vehicle","2022-12-10","2022","December","17","Mon",16,0,1,0,0,0
"304","Larceny - Of Veh Parts/Access","2022-12-10","2022","December","16","Mon",16,0,1,0,0,0
"305","Assist Citizen - Mental/TDO/ECO","2022-12-10","2022","December","08","Mon",16,0,1,0,0,0
"306","Sex Offense - Forcible Rape","2022-12-10","2022","December","07","Mon",16,0,1,0,0,0
"307","Driving Under the Influence","2022-12-10","2022","December","07","Mon",16,0,1,0,0,0
"308","Assault Simple","2022-12-10","2022","December","05","Mon",16,0,1,0,0,0
"309","Domestic Disturbance","2022-12-10","2022","December","04","Mon",16,0,1,0,0,0
"310","Vandalism","2022-12-10","2022","December","04","Mon",16,0,1,0,0,0
"311","Larceny - Theft from Building","2022-12-10","2022","December","00","Mon",16,0,1,0,0,0
"312","Larceny - Theft from Building","2022-12-09","2022","December","20","Sun",15,0,1,0,0,0
"313","Larceny - Theft from Building","2022-12-09","2022","December","19","Sun",15,0,1,0,0,0
"314","Shots Fired/Illegal Hunting","2022-12-09","2022","December","18","Sun",15,1,0,0,0,1
"315","Assault Simple","2022-12-09","2022","December","18","Sun",15,0,1,0,0,0
"316","Larceny - Theft from Building","2022-12-09","2022","December","16","Sun",15,0,1,0,0,0
