RecordID,Offense,IncidentID,BlockNumber,StreetName,Agency,DateReported,HourReported,ReportingOfficer
31,Assist Citizen - Mental/TDO/ECO,202300010686,100,"APPLE TREE RD, A",CPD,2023/04/01 20:04:44+00,1604,"Lowe, Courteny"
32,Assault Simple,202300010673,800,"W MAIN ST, 606",CPD,2023/04/01 19:55:12+00,1555,"Burnett, James"
33,Assault Simple,202300010671,200,E MAIN ST,CPD,2023/04/01 19:42:44+00,1542,"Eckenroth, Rachel"
34,Hit and Run,202300010668,200,ELLIOTT AVE,CPD,2023/04/01 19:10:28+00,1510,"Turner, Devon"
35,Larceny - Theft from Building,202380000254,1000,EMMET ST N,CPD,2023/04/01 18:27:10+00,1427,"Moje, Ashley"
36,Larceny - All Other,202300010653,200,14TH ST NW,CPD,2023/04/01 16:18:36+00,1218,"Burnett, James"
37,Larceny - Shoplifitng,202300010651,100,SEMINOLE CT,CPD,2023/04/01 15:46:56+00,1146,"Houchens, Jamell"
38,Hit and Run,202300010637,2500,JEFFERSON PARK AVE,CPD,2023/04/01 13:03:32+00,0903,"Green, Bryan"
39,Hit and Run,202300010635,1900,EMMET ST N,CPD,2023/04/01 12:41:31+00,0841,"Hopiane, Sayd"
40,Weapons Violations,202300010594,1500,E HIGH ST,CPD,2023/04/01 02:38:49+00,2238,"Venereo, Arturo"
41,Vandalism,202300010591,1400,"VINE ST, A2",CPD,2023/04/01 01:46:42+00,2146,"Whitten, Tobyn"
42,Assault Simple,202300010582,900,HENRY AVE,CPD,2023/04/01 00:00:55+00,2000,"Mullins, James"
43,Larceny - Shoplifitng,202300010571,1100,5TH ST SW,CPD,2023/03/31 21:54:09+00,1754,"Bentz, Benjamin "
44,Hit and Run,202300010573,1700,EMMET ST N,CPD,2023/03/31 21:48:58+00,1748,"Mullins, James"
45,Hit and Run,202300010562,1200,EMMET ST N,CPD,2023/03/31 21:17:01+00,1717,"Mullins, James"
46,Larceny - All Other,202300010564,500,HARRIS RD,CPD,2023/03/31 20:57:10+00,1657,"Bentz, Benjamin "
47,Assault Simple,202300010551,1200,EMMET ST N,CPD,2023/03/31 19:57:38+00,1557,"Hopiane, Sayd"
48,Larceny - From Motor Vehicle,202300010541,1100,EMMET ST N,CPD,2023/03/31 18:10:42+00,1410,"Hopiane, Sayd"
49,Fraud-impersonation,202380000253,600,LYONS AVE,CPD,2023/03/31 17:19:39+00,1319,"Miller, Tiffany "
50,Fraud-wire fraud,202300010528,1000,BLENHEIM AVE,CPD,2023/03/31 16:16:59+00,1216,"Arndt, Brian"
51,Hit and Run,202300010521,400,17TH ST NW,CPD,2023/03/31 15:07:59+00,1107,"Burnett, James"
52,Assault Simple,202300010514,1300,LONG ST,CPD,2023/03/31 14:00:44+00,1000,"Turner, Devon"
53,Vandalism,202300010501,900,GROVE ST,CPD,2023/03/31 12:03:59+00,0803,"Houchens, Jamell"
54,Assist Citizen - Mental/TDO/ECO,202300010489,600,E MARKET ST,CPD,2023/03/31 07:24:00+00,0324,"Payne, Katherine"
55,Driving Under the Influence,202300010471,,MONTICELLO AVE / 6TH ST SE,CPD,2023/03/31 02:45:33+00,2245,"Payne, Katherine"
56,Assist Citizen - Mental/TDO/ECO,202300010464,1300,LONG ST,CPD,2023/03/31 02:14:14+00,2214,"Aguilera, Natalia"
57,Assault Simple,202300010459,1600,CENTER AVE,CPD,2023/03/31 01:30:13+00,2130,"Bentz, Benjamin "
58,Weapons Violations,202300010453,3800,-78.4835100710000000,CPD,2023/03/31 01:17:39+00,2117,"Curry, Brian"
59,Assist Citizen - Mental/TDO/ECO,202300010440,1400,RUTLEDGE AVE,CPD,2023/03/30 23:46:53+00,1946,"Middleton, Matthew"
60,Fraud-wire fraud,202300010442,500,STEWART ST,CPD,2023/03/30 23:37:59+00,1937,"Headley, Someya"
61,Vandalism,202300010424,1400,FOREST RIDGE RD,CPD,2023/03/30 21:36:37+00,1736,"Bentz, Benjamin "
62,Sex Offense,202300010402,1600,GROVE ST,CPD,2023/03/30 19:38:16+00,1538,"Headley, Someya"
63,Assist Citizen - Mental/TDO/ECO,202300010367,2400,SUNSET RD,CPD,2023/03/30 16:38:53+00,1238,"Bayles, Shawn"
64,Hit and Run,202300010364,1000,EMMET ST N,CPD,2023/03/30 16:23:14+00,1223,"Hopiane, Sayd"
65,Assist Citizen - Mental/TDO/ECO,202300010351,,STADIUM RD / PIEDMONT AVE N,CPD,2023/03/30 15:12:48+00,1112,"Stayments, Ronald "
66,Assist Citizen - Welfare Check,202300010355,500,CLEVELAND AVE,CPD,2023/03/30 15:07:10+00,1107,"Green, Bryan"
67,Animal Complaint,202300010346,200,CAMELIA DR,CPD,2023/03/30 14:47:17+00,1047,"Green, Bryan"
68,Hit and Run,202300010342,400,UNIVERSITY CIR,CPD,2023/03/30 14:13:05+00,1013,"Burnett, James"
69,Hit and Run,202300010324,1600,EMMET ST N,CPD,2023/03/30 14:01:20+00,1001,"Hopiane, Sayd"
70,Suspicious Activity,202380000251,300,GRADY AVE,CPD,2023/03/30 09:06:26+00,0506,"Miller, Tiffany "
71,Suspicious Activity,202300010261,2000,INDIA RD,CPD,2023/03/30 05:03:58+00,0103,"Wood, Trevis"
72,Suspicious Person,202300010259,300,E JEFFERSON ST,CPD,2023/03/30 05:03:18+00,0103,"Payne, Katherine"
73,Suspicious Person,202300010258,300,14TH ST NW,CPD,2023/03/30 05:02:10+00,0102,"Blackwell, Kyle"
74,Stalking,202300010254,300,E MAIN ST,CPD,2023/03/30 03:02:34+00,2302,"Payne, Katherine"
75,Unauthorized Use of Motor Veh,202300010236,500,W MAIN ST,CPD,2023/03/30 01:31:52+00,2131,"Middleton, Matthew"
76,Lost/FoundProperty,202300010228,1200,EMMET ST N,CPD,2023/03/30 00:26:27+00,2026,"Lowe, Courteny"
77,Larceny - Theft from Building,202300010207,1000,EMMET ST N,CPD,2023/03/29 20:22:14+00,1622,"Lowe, Courteny"
78,Larceny - All Other,202300010204,800,"HARDY DR, A",CPD,2023/03/29 19:46:16+00,1546,"Middleton, Matthew"
79,Accident w/Injuries,202300010203,700,"PRESTON AVE, 105",CPD,2023/03/29 19:34:22+00,1534,"Burchardt, Rudy"
80,Suspicious Activity,202300010197,1300,LONG ST,CPD,2023/03/29 18:10:59+00,1410,"Shiflett, Tammy"
81,Larceny - From Motor Vehicle,202380000250,1100,PRESTON AVE,CPD,2023/03/29 17:08:07+00,1308,"Miller, Tiffany "
82,Hit and Run,202300010185,1500,E HIGH ST,CPD,2023/03/29 16:02:58+00,1202,"Shiflett, Tammy"
83,Assist Citizen - Mental/TDO/ECO,202300010186,100,LAUREL CIR,CPD,2023/03/29 16:01:12+00,1201,"Green, Bryan"
84,Pornography,202300010179,400,"GARRETT ST, B",CPD,2023/03/29 15:08:55+00,1108,"Bowers, Justin"
85,Drunkeness DIP,202300010152,300,E MAIN ST,CPD,2023/03/29 06:20:14+00,0220,"Samar, Jack"
86,Stolen Property Offenses,202300010148,1900,EMMET ST N,CPD,2023/03/29 04:51:13+00,0051,"Vlasis, Christopher"
87,Assist Citizen - Mental/TDO/ECO,202300010141,800,"W MAIN ST, 217",CPD,2023/03/29 03:30:07+00,2330,"O'Briant, Landon"
88,Assist Citizen - Mental/TDO/ECO,202300010135,200,E MAIN ST,CPD,2023/03/29 01:45:42+00,2145,"Headley, Someya"
89,Larceny - All Other,202100036376,,UNKNOWN,CPD,2023/03/29 00:03:00+00,2003,"Lowry, Ryan"
90,Warrant Service,202200037767,1600,AVON STREET EXT,CPD,2023/03/28 23:51:00+00,1951,"Moje, Ashley"
91,Fraud-credit card,202300010125,1600,EMMET ST N,CPD,2023/03/28 23:24:20+00,1924,"Mullins, James"
92,Vandalism,202380000249,1900,EMMET ST N,CPD,2023/03/28 22:15:55+00,1815,"Miller, Tiffany "
93,Assault Aggravated,202300010115,600,12TH ST NW,CPD,2023/03/28 21:47:36+00,1747,"Headley, Someya"
94,Harassment,202380000248,400,"13TH ST NW, 2C",CPD,2023/03/28 17:17:26+00,1317,"Miller, Tiffany "
95,Lost/FoundProperty,202300010085,100,W MAIN ST,CPD,2023/03/28 17:11:45+00,1311,"Arndt, Brian"
96,Assault Intimidation,202300010069,1300,CARLTON AVE,CPD,2023/03/28 15:39:30+00,1139,"Pendleton, Eric"
97,Burglary,202300010078,800,"W MAIN ST, 114",CPD,2023/03/28 15:36:43+00,1136,"Perkins, Ceaser"
98,Family Offense - Non-Violent,202300010067,200,4TH ST NW,CPD,2023/03/28 15:17:14+00,1117,"Perkins, Ceaser"
99,Drug/Narcotics Violation,202300010051,400,"GARRETT ST, G",CPD,2023/03/28 13:12:38+00,0912,"Pendleton, Eric"
100,Larceny - All Other,202300010031,1000,DRUID AVE,CPD,2023/03/28 04:43:09+00,0043,"Blackwell, Ryan"
101,Fraud-false pretense,202380000247,,"GARRETT ST, FRIENDSHIP CT, 415A",CPD,2023/03/28 02:49:44+00,2249,"Miller, Tiffany "
102,Lost/FoundProperty,202300010016,2300,DELLMEAD LN,CPD,2023/03/28 01:33:44+00,2133,"Jones, Larry"
103,Disorderly Conduct,202300010014,2300,DELLMEAD LN,CPD,2023/03/28 01:33:44+00,2133,"Mullins, James"
104,Fraud-impersonation,202380000246,100,MAIN ST,CPD,2023/03/27 22:23:53+00,1823,"Miller, Tiffany "
105,Robbery - Armed,202300010006,2000,HOLIDAY DR,CPD,2023/03/27 22:17:31+00,1817,"Venereo, Arturo"
106,Assist Citizen - Mental/TDO/ECO,202300010001,1900,EMMET ST N,CPD,2023/03/27 21:35:39+00,1735,"Mullins, James"
107,Assault Intimidation,202300009990,900,GRADY AVE,CPD,2023/03/27 20:06:25+00,1606,"Darby, Michael"
108,Suspicious Activity,202300009996,400,4TH ST NW,CPD,2023/03/27 20:05:54+00,1605,"Darby, Michael"
109,Hit and Run,202300009971,200,BROOKWOOD DR,CPD,2023/03/27 18:42:05+00,1442,"Eckenroth, Rachel"
110,Vandalism,202300009969,2100,"MICHIE DR, 67",CPD,2023/03/27 18:35:02+00,1435,"Turner, Devon"
111,Vandalism,202380000245,200,BYPASS SKATE PARK,CPD,2023/03/27 18:02:54+00,1402,"Miller, Tiffany "
112,Fraud-false pretense,202380000244,200,PALATINE AVE,CPD,2023/03/27 16:32:08+00,1232,"Miller, Tiffany "
113,Phone Calls - Annoying,202300009956,600,E MARKET ST,CPD,2023/03/27 16:23:21+00,1223,"Wagner, Christopher "
114,Suspicious Activity,202300009954,100,"LONGWOOD DR, A",CPD,2023/03/27 15:52:19+00,1152,"Bowlin, Jacob"
115,Fraud-wire fraud,202380000243,1000,"W MAIN ST, 629",CPD,2023/03/27 15:41:39+00,1141,"Miller, Tiffany "
116,Comm Relations Initiative - CRI,202300009950,,RUGBY AVE,CPD,2023/03/27 15:00:22+00,1100,"Hopiane, Sayd"
117,Larceny - Theft from Building,202380000242,1000,WERTLAND ST,CPD,2023/03/27 14:26:28+00,1026,"Miller, Tiffany "
118,Misc - Criminal Call,202300009944,1600,GREENLEAF LN,CPD,2023/03/27 13:38:28+00,0938,"Hopiane, Sayd"
119,Burglary,202300009905,1800,"JEFFERSON PARK AVE, 204",CPD,2023/03/27 06:04:08+00,0204,"Aguilera, Natalia"
120,Assist Citizen - Mental/TDO/ECO,202300009888,1700,GORDON AVE,CPD,2023/03/27 03:37:59+00,2337,"Aguilera, Natalia"
121,Disorderly Conduct,202300009878,600,PRESTON AVE,CPD,2023/03/27 02:47:47+00,2247,"Payne, Katherine"
122,Suspicious Activity,202300009875,600,E MARKET ST,CPD,2023/03/27 01:35:41+00,2135,"Vlasis, Christopher"
123,Larceny - Shoplifitng,202300009874,600,PRESTON AVE,CPD,2023/03/27 00:27:06+00,2027,"Curry, Brian"
124,Assault Aggravated,202300009871,,DICE ST / 6TH ST SW,CPD,2023/03/27 00:21:11+00,2021,"Darby, Michael"
125,Driving Under the Influence,202300009869,1500,GROVE RD,CPD,2023/03/26 23:49:57+00,1949,"Mullins, James"
126,Larceny - Of Veh Parts/Access,202300009866,800,W MAIN ST,CPD,2023/03/26 23:32:47+00,1932,"Darby, Michael"
127,Hit and Run,202300009865,,5TH ST SW @ 5TH STREET STATION,CPD,2023/03/26 23:20:15+00,1920,"Alfonso, Sean"
128,Larceny - From Motor Vehicle,202300009841,200,RIVERSIDE AVE,CPD,2023/03/26 19:21:04+00,1521,"Venereo, Arturo"
129,Hit and Run,202300009831,,BARRACKS RD @ EMMET ST,CPD,2023/03/26 17:37:40+00,1337,"Eckenroth, Rachel"
130,Suspicious Activity,202300009827,100,W MAIN ST,CPD,2023/03/26 16:39:21+00,1239,"Perkins, Ceaser"
131,Assault Aggravated,202300009826,1000,MARTIN ST,CPD,2023/03/26 16:34:19+00,1234,"Shiflett, Tammy"
132,Lost/FoundProperty,202300009820,1200,EMMET ST N,CPD,2023/03/26 15:04:48+00,1104,"Hopiane, Sayd"
133,Assault Simple,202300009817,1400,UNIVERSITY AVE,CPD,2023/03/26 13:18:05+00,0918,"Shiflett, Tammy"
134,Larceny - Shoplifitng,202300009809,800,E MARKET ST,CPD,2023/03/26 08:40:18+00,0440,"Wells, Matthew"
135,Driving Under the Influence,202300009769,,WESTWOOD RD @ RUGBY,CPD,2023/03/26 04:04:10+00,0004,"Wood, Trevis"
136,Hit and Run,202300009742,,WERTLAND ST / 14TH ST NW,CPD,2023/03/26 02:09:20+00,2209,"Aguilera, Natalia"
137,Assist Citizen - Mental/TDO/ECO,202300009735,200,E MAIN ST,CPD,2023/03/26 00:55:49+00,2055,"Headley, Someya"
138,Death Investigation - DOA,202300009724,900,ROUGEMONT AVE,CPD,2023/03/25 23:01:36+00,1901,"Darby, Michael"
139,Larceny - Shoplifitng,202300009708,1800,MONTICELLO RD,CPD,2023/03/25 19:24:11+00,1524,"Pendleton, Eric"
140,Assault Intimidation,202300009707,600,E MARKET ST,CPD,2023/03/25 19:20:44+00,1520,"Eckenroth, Rachel"
141,Assist Citizen - Mental/TDO/ECO,202300009704,2300,DELLMEAD LN,CPD,2023/03/25 18:17:04+00,1417,"Hopiane, Sayd"
142,Suspicious Activity,202380000252,900,CHARLTON AVE,CPD,2023/03/25 18:07:27+00,1407,"Miller, Tiffany "
143,Domestic Disturbance,202300009678,600,BAILEY RD,CPD,2023/03/25 07:19:50+00,0319,"Vlasis, Christopher"
144,Driving Under the Influence,202300009670,100,CARLTON RD,CPD,2023/03/25 06:13:53+00,0213,"Wells, Matthew"
145,Assist Citizen - Mental/TDO/ECO,202300009669,600,E MARKET ST,CPD,2023/03/25 05:41:38+00,0141,"Wells, Matthew"
146,Suspicious Activity,202300009637,,GRADY AVE / 14TH ST NW,CPD,2023/03/25 02:15:06+00,2215,"O'Briant, Landon"
147,Driving Under the Influence,202300009636,800,W MAIN ST,CPD,2023/03/25 01:58:00+00,2158,"Alfonso, Sean"
148,Motor Vehicle Theft,202300009630,1100,MILLMONT ST,CPD,2023/03/25 01:31:40+00,2131,"Headley, Someya"
149,Assault Simple,202300009623,1100,SEMINOLE,CPD,2023/03/25 00:50:49+00,2050,"Darby, Michael"
150,Larceny - From Motor Vehicle,202300009620,1100,SEMINOLE,CPD,2023/03/25 00:32:19+00,2032,"Darby, Michael"
151,Motor Vehicle Theft,202300009616,400,MCINTIRE RD,CPD,2023/03/24 23:56:49+00,1956,"Headley, Someya"
152,Vandalism,202380000241,1600,MERIDIAN ST,CPD,2023/03/24 23:17:32+00,1917,"Miller, Tiffany "
153,Larceny - Theft from Building,202380000240,1100,EMMET ST N,CPD,2023/03/24 20:37:19+00,1637,"Miller, Tiffany "
154,Larceny - Theft from Building,202380000239,1100,EMMET ST N,CPD,2023/03/24 19:36:20+00,1536,"Miller, Tiffany "
155,Accident - w/out Injuries,202300009580,,5TH ST SW @ BAILEY RD,CPD,2023/03/24 18:35:58+00,1435,"Green, Bryan"
156,Assault Simple,202300009576,100,"CHANCELLOR ST, 5",CPD,2023/03/24 17:34:16+00,1334,"Burnett, James"
157,Harassment,202300009573,2700,MCELROY DR,CPD,2023/03/24 16:43:26+00,1243,"Green, Bryan"
158,Assault Intimidation,202300009570,1600,MONTICELLO RD,CPD,2023/03/24 16:02:06+00,1202,"Eckenroth, Rachel"
159,Trespass,202300009563,400,14TH ST NW,CPD,2023/03/24 14:51:29+00,1051,"Eckenroth, Rachel"
160,Larceny - From Motor Vehicle,202300009557,800,ROCK CREEK RD,CPD,2023/03/24 13:00:08+00,0900,"Green, Bryan"
161,Hit and Run,202300009551,2100,BARRACKS RD,CPD,2023/03/24 12:13:11+00,0813,"Sandridge, Jeffrey"
162,Animal Complaint,202300009549,700,ORANGEDALE AVE,CPD,2023/03/24 11:37:18+00,0737,"Green, Bryan"
163,Trespass,202300009543,1700,HYDRAULIC RD,CPD,2023/03/24 10:31:38+00,0631,"Lowry, Brent"
164,Larceny - Shoplifitng,202300009538,800,E MARKET ST,CPD,2023/03/24 08:53:25+00,0453,"O'Briant, Landon"
165,Assault Aggravated,202300009524,1300,"CARLTON AVE, 306",CPD,2023/03/24 05:12:51+00,0112,"O'Briant, Landon"
166,Missing Person-juvenile,202300009513,500,PARK ST,CPD,2023/03/24 03:04:34+00,2304,"Lowry, Brent"
167,Assist Citizen - Mental/TDO/ECO,202300009511,400,"GARRETT ST, G",CPD,2023/03/24 02:47:22+00,2247,"O'Briant, Landon"
168,Fraud-impersonation,202380000238,3000,CITY WALK WAY,CPD,2023/03/24 02:26:10+00,2226,"Moje, Ashley"
169,Larceny - Shoplifitng,202300009504,1400,UNIVERSITY AVE,CPD,2023/03/24 01:56:28+00,2156,"Lowe, Courteny"
170,Misc - Criminal Call,202300009486,800,"HARDY DR, E",CPD,2023/03/23 23:21:14+00,1921,"Middleton, Matthew"
171,Lost/FoundProperty,202380000237,800,"CABELL AVE, Apt D",CPD,2023/03/23 23:19:20+00,1919,"Moje, Ashley"
172,Assault Simple,202300009485,,WAYNE AVE / ANGUS RD,CPD,2023/03/23 22:45:08+00,1845,"Whitten, Tobyn"
173,Larceny - Theft from Building,202380000236,100,"NORWICH ST, 109",CPD,2023/03/23 21:25:16+00,1725,"Moje, Ashley"
174,Vandalism,202380000235,,HILLSDALE DR,CPD,2023/03/23 20:47:28+00,1647,"Moje, Ashley"
175,Driving Under the Influence,202300009466,1100,SEMINOLE,CPD,2023/03/23 20:27:19+00,1627,"Headley, Someya"
176,Fraud-wire fraud,202300009470,1800,WINSTON RD,CPD,2023/03/23 19:52:27+00,1552,"Lowe, Courteny"
177,Larceny - All Other,202300009458,400,"11TH ST NE, A11",CPD,2023/03/23 19:44:51+00,1544,"Shiflett, Tammy"
178,Suspicious Activity,202300009450,100,DALTON LN,CPD,2023/03/23 19:07:38+00,1507,"Green, Bryan"
179,Suspicious Person,202300009415,200,W MAIN ST,CPD,2023/03/23 14:51:34+00,1051,"Payne, Katherine"
180,Larceny - Theft from Building,202300009399,200,"W WATER ST, 100",CPD,2023/03/23 12:38:20+00,0838,"Payne, Katherine"
181,Assist Citizen - Misc,202300009400,2100,"MICHIE DR, 99B",CPD,2023/03/23 12:25:12+00,0825,"Hopiane, Sayd"
182,Vandalism,202300009397,1600,CHERRY AVE,CPD,2023/03/23 12:16:56+00,0816,"Green, Bryan"
183,Motor Vehicle Theft,202300009402,1600,"6TH ST SE, 20",CPD,2023/03/23 11:54:59+00,0754,"Green, Bryan"
184,Assault Simple,202300009394,1200,CEDARS CT,CPD,2023/03/23 11:40:30+00,0740,"Hopiane, Sayd"
185,Larceny - Of Veh Parts/Access,202300009376,700,HARRIS ST,CPD,2023/03/23 01:07:35+00,2107,"O'Briant, Landon"
186,Disorderly Conduct,202300009375,500,PARK ST,CPD,2023/03/23 00:48:09+00,2048,"Lowry, Brent"
187,Assault Aggravated,202300009371,1600,CEDAR HILL RD,CPD,2023/03/23 00:05:56+00,2005,"Wood, Trevis"
188,Misc - Non-Criminal Call,202300009360,600,E MARKET ST,CPD,2023/03/22 22:54:41+00,1854,"Shiflett, Tammy"
189,Motor Vehicle Theft,202300009354,,JEFFERSON PARK AVE @ KENT TER,CPD,2023/03/22 22:16:36+00,1816,"Wood, Trevis"
190,Missing Person-juvenile,202300009350,800,"HARDY DR, E",CPD,2023/03/22 21:55:18+00,1755,"Middleton, Matthew"
191,Larceny - All Other,202300009348,1400,MELBOURNE RD,CPD,2023/03/22 21:50:14+00,1750,"Lowe, Courteny"
192,Larceny - All Other,202300009345,500,W MAIN ST,CPD,2023/03/22 21:30:39+00,1730,"Middleton, Matthew"
193,Unauthorized Use of Motor Veh,202300009340,1400,MELBOURNE RD,CPD,2023/03/22 20:26:51+00,1626,"Lowe, Courteny"
194,Larceny - Shoplifitng,202300009336,1100,5TH ST SW,CPD,2023/03/22 19:52:45+00,1552,"Bentz, Benjamin "
195,Lost/FoundProperty,202300009333,100,2ND ST NW,CPD,2023/03/22 19:35:39+00,1535,"Arndt, Brian"
196,Larceny - Shoplifitng,202300009322,500,W MAIN ST,CPD,2023/03/22 17:05:27+00,1305,"Houchens, Jamell"
197,Harassment,202300009310,300,10TH ST NW,CPD,2023/03/22 15:40:51+00,1140,"Houchens, Jamell"
198,Sex Offense,202300009305,200,2ND ST NW,CPD,2023/03/22 15:20:18+00,1120,"Shiflett, Tammy"
199,Suspicious Activity,202300009304,100,ALTO PL,CPD,2023/03/22 15:10:39+00,1110,"Wagner, Christopher "
200,Suspicious Activity,202300009303,900,FOREST ST,CPD,2023/03/22 15:10:21+00,1110,"Wagner, Christopher "
201,Vandalism,202300009300,1600,MERIDIAN ST,CPD,2023/03/22 14:33:11+00,1033,"Pendleton, Eric"
202,Vandalism,202380000234,,FIRST ST S,CPD,2023/03/22 13:44:58+00,0944,"Miller, Tiffany "
203,Vandalism,202300009295,200,W MARKET ST,CPD,2023/03/22 13:18:04+00,0918,"Payne, Katherine"
204,Runaway,202300009285,1600,"6TH ST SE, 42",CPD,2023/03/22 11:24:28+00,0724,"Pendleton, Eric"
205,Assault Aggravated,202300009284,1600,EMMET ST N,CPD,2023/03/22 11:00:58+00,0700,"Miller, Devin"
206,Domestic Disturbance,202300009279,1300,"CARLTON AVE, 309",CPD,2023/03/22 09:00:03+00,0500,"O'Briant, Landon"
207,Suspicious Activity,202300009259,300,14TH ST NW,CPD,2023/03/22 03:54:57+00,2354,"Samar, Jack"
208,Larceny - All Other,202300009251,100,ELLIEWOOD AVE,CPD,2023/03/22 01:09:14+00,2109,"Wood, Trevis"
209,Larceny - All Other,202300009247,400,"4TH ST NW, 112",CPD,2023/03/22 00:15:01+00,2015,"Darby, Michael"
210,Suspicious Activity,202380000233,,LEE ST,CPD,2023/03/21 23:23:00+00,1923,"Miller, Tiffany "
211,Lost/FoundProperty,202380000232,,MINOR COURT LN,CPD,2023/03/21 22:40:53+00,1840,"Miller, Tiffany "
212,Suspicious Activity,202300009235,300,"E MARKET ST, D",CPD,2023/03/21 22:12:38+00,1812,"Whitten, Tobyn"
213,Larceny - Theft from Building,202300009234,500,W MAIN ST,CPD,2023/03/21 21:50:51+00,1750,"Lowe, Courteny"
214,Hit and Run,202300009227,1900,EMMET ST N,CPD,2023/03/21 21:16:43+00,1716,"Lowe, Courteny"
215,Assault Simple,202300009225,700,PROSPECT AVE,CPD,2023/03/21 20:56:24+00,1656,"Alfonso, Sean"
216,Hit and Run,202300009218,700,ELLIOTT AVE,CPD,2023/03/21 19:24:13+00,1524,"Burchardt, Rudy"
217,Assist Citizen - Medical,202300009215,1700,EMMET ST N,CPD,2023/03/21 18:53:49+00,1453,"Hopiane, Sayd"
218,Vandalism,202380000231,400,E WATER ST,CPD,2023/03/21 15:46:27+00,1146,"Miller, Tiffany "
219,Larceny - From Motor Vehicle,202380000230,600,WATSON AVE,CPD,2023/03/21 15:45:10+00,1145,"Miller, Tiffany "
220,Larceny - Theft from Building,202380000229,1600,EMMET ST N,CPD,2023/03/21 14:59:04+00,1059,"Miller, Tiffany "
